season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against,runs_for,overs_for,runs_against,overs_against
2023,1,GT,GT,14,10,4,0,20,0.809,2450/268.1,2326/279.2,2450.0,268.1,2326.0,279.2
2023,2,CSK,CSK,14,8,5,1,17,0.652,2369/254.3,2232/257.5,2369.0,254.3,2232.0,257.5
2023,3,LSG,LSG,14,8,5,1,17,0.284,2253/255.2,2216/259.3,2253.0,255.2,2216.0,259.3
2023,4,MI,MI,14,8,6,0,16,-0.044,2592/270.3,2620/272.1,2592.0,270.3,2620.0,272.1
2023,5,RR,RR,14,7,7,0,14,0.148,2419/272.1,2389/273.2,2419.0,272.1,2389.0,273.2
2023,6,RCB,RCB,14,7,7,0,14,0.135,2502/275.4,2435/272.2,2502.0,275.4,2435.0,272.2
2023,7,KKR,KKR,14,6,8,0,12,-0.239,2463/274.3,2432/264.0,2463.0,274.3,2432.0,264.0
2023,8,KXIP,KXIP,14,6,8,0,12,-0.304,2518/275.3,2564/271.3,2518.0,275.3,2564.0,271.3
2023,9,DC,DC,14,5,9,0,10,-0.808,2182/276.0,2424/278.1,2182.0,276.0,2424.0,278.1
2023,10,Sunrisers Hyderabad,SRH,14,4,10,0,8,-0.59,2376/277.1,2486/271.2,2376.0,277.1,2486.0,271.2
2022,1,GT,GT,14,10,4,0,20,0.316,2339/278.1,2216/273.5,2339.0,278.1,2216.0,273.5
2022,2,RR,RR,14,9,5,0,18,0.298,2464/279.2,2351/275.5,2464.0,279.2,2351.0,275.5
2022,3,LSG,LSG,14,9,5,0,18,0.251,2355/279.1,2289/279.4,2355.0,279.1,2289.0,279.4
2022,4,RCB,RCB,14,8,6,0,16,-0.253,2268/275.4,2260/266.3,2268.0,275.4,2260.0,266.3
2022,5,DC,DC,14,7,7,0,14,0.204,2341/266.0,2397/278.5,2341.0,266.0,2397.0,278.5
2022,6,KXIP,KXIP,14,7,7,0,14,0.126,2343/270.1,2252/263.3,2343.0,270.1,2252.0,263.3
2022,7,KKR,KKR,14,6,8,0,12,0.146,2223/268.1,2249/276.1,2223.0,268.1,2249.0,276.1
2022,8,Sunrisers Hyderabad,SRH,14,6,8,0,12,-0.379,2197/261.3,2416/275.1,2197.0,261.3,2416.0,275.1
2022,9,CSK,CSK,14,4,10,0,8,-0.203,2288/280.0,2254/269.1,2288.0,280.0,2254.0,269.1
2022,10,MI,MI,14,4,10,0,8,-0.506,2217/273.2,2351/272.5,2217.0,273.2,2351.0,272.5
2021,1,DC,DC,14,10,4,0,20,0.481,2180/267.0,2136/278.0,2180.0,267.0,2136.0,278.0
2021,2,CSK,CSK,14,9,5,0,18,0.455,2368/272.0,2218/268.5,2368.0,272.0,2218.0,268.5
2021,3,RCB,RCB,14,9,5,0,18,-0.14,2165/273.4,2159/268.1,2165.0,273.4,2159.0,268.1
2021,4,KKR,KKR,14,7,7,0,14,0.587,2119/259.5,2080/274.5,2119.0,259.5,2080.0,274.5
2021,5,MI,MI,14,7,7,0,14,0.116,2117/265.5,2128/271.1,2117.0,265.5,2128.0,271.1
2021,6,KXIP,KXIP,14,6,8,0,12,-0.001,2150/270.1,2117/266.0,2150.0,270.1,2117.0,266.0
2021,7,RR,RR,14,5,9,0,10,-0.993,2196/276.0,2318/259.0,2196.0,276.0,2318.0,259.0
2021,8,Sunrisers Hyderabad,SRH,14,3,11,0,6,-0.545,2077/277.1,2216/275.4,2077.0,277.1,2216.0,275.4
2020,1,MI,MI,14,9,5,0,18,1.107,2378/262.2,2187/274.5,2378.0,262.2,2187.0,274.5
2020,2,DC,DC,14,8,6,0,16,-0.109,2289/278.5,2271/273.0,2289.0,278.5,2271.0,273.0
2020,3,Sunrisers Hyderabad,SRH,14,7,7,0,14,0.608,2225/269.3,2125/277.5,2225.0,269.3,2125.0,277.5
2020,4,RCB,RCB,14,7,7,0,14,-0.172,2147/272.2,2183/271.0,2147.0,272.2,2183.0,271.0
2020,5,KKR,KKR,14,7,7,0,14,-0.214,2219/278.0,2206/269.1,2219.0,278.0,2206.0,269.1
2020,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.162,2335/277.5,2343/273.3,2335.0,277.5,2343.0,273.3
2020,7,CSK,CSK,14,6,8,0,12,-0.455,2191/274.3,2275/269.4,2191.0,274.3,2275.0,269.4
2020,8,RR,RR,14,6,8,0,12,-0.569,2288/272.4,2482/277.0,2288.0,272.4,2482.0,277.0
2019,1,MI,MI,14,9,5,0,18,0.421,2380/275.1,2282/277.2,2380.0,275.1,2282.0,277.2
2019,2,CSK,CSK,14,9,5,0,18,0.131,2043/274.1,2012/274.5,2043.0,274.1,2012.0,274.5
2019,3,DC,DC,14,9,5,0,18,0.044,2207/272.5,2238/278.1,2207.0,272.5,2238.0,278.1
2019,4,Sunrisers Hyderabad,SRH,14,6,8,0,12,0.577,2288/269.2,2200/277.5,2288.0,269.2,2200.0,277.5
2019,5,KKR,KKR,14,6,8,0,12,0.028,2466/270.4,2419/266.2,2466.0,270.4,2419.0,266.2
2019,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.251,2429/276.3,2503/277.0,2429.0,276.3,2503.0,277.0
2019,7,RR,RR,14,5,8,1,11,-0.449,2153/257.0,2192/248.2,2153.0,257.0,2192.0,248.2
2019,8,RCB,RCB,14,5,8,1,11,-0.607,2146/258.4,2266/254.3,2146.0,258.4,2266.0,254.3
2018,1,Sunrisers Hyderabad,SRH,14,9,5,0,18,0.284,2230/273.3,2193/278.4,2230.0,273.3,2193.0,278.4
2018,2,CSK,CSK,14,9,5,0,18,0.253,2488/275.3,2433/277.1,2488.0,275.3,2433.0,277.1
2018,3,KKR,KKR,14,8,6,0,16,-0.07,2363/265.1,2425/270.0,2363.0,265.1,2425.0,270.0
2018,4,RR,RR,14,7,7,0,14,-0.25,2130/255.3,2141/249.2,2130.0,255.3,2141.0,249.2
2018,5,MI,MI,14,6,8,0,12,0.317,2380/278.4,2282/277.3,2380.0,278.4,2282.0,277.3
2018,6,RCB,RCB,14,6,8,0,12,0.129,2322/264.4,2383/275.4,2322.0,264.4,2383.0,275.4
2018,7,Kings XI Punjab,KXIP,14,6,8,0,12,-0.502,2210/268.4,2259/258.5,2210.0,268.4,2259.0,258.5
2018,8,DC,DC,14,5,9,0,10,-0.222,2297/258.0,2304/252.3,2297.0,258.0,2304.0,252.3
2017,1,MI,MI,14,10,4,0,20,0.784,2407/272.1,2242/278.1,2407.0,272.1,2242.0,278.1
2017,2,Rising Pune Supergiant,RPS,14,9,5,0,18,0.176,2180/271.0,2165/275.1,2180.0,271.0,2165.0,275.1
2017,3,Sunrisers Hyderabad,SRH,14,8,5,1,17,0.599,2221/252.0,2118/257.5,2221.0,252.0,2118.0,257.5
2017,4,KKR,KKR,14,8,6,0,16,0.641,2329/260.5,2300/277.3,2329.0,260.5,2300.0,277.3
2017,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.009,2207/261.2,2229/263.4,2207.0,261.2,2229.0,263.4
2017,6,DC,DC,14,6,8,0,12,-0.512,2219/276.2,2255/264.0,2219.0,276.2,2255.0,264.0
2017,7,Gujarat Lions,GL,14,4,10,0,8,-0.412,2406/269.5,2472/265.0,2406.0,269.5,2472.0,265.0
2017,8,RCB,RCB,14,3,10,1,7,-1.299,1845/260.0,2033/242.1,1845.0,260.0,2033.0,242.1
2016,1,Gujarat Lions,GL,14,9,5,0,18,-0.374,2130/264.3,2285/271.1,2130.0,264.3,2285.0,271.1
2016,2,RCB,RCB,14,8,6,0,16,0.932,2613/270.2,2345/268.3,2613.0,270.2,2345.0,268.3
2016,3,Sunrisers Hyderabad,SRH,14,8,6,0,16,0.245,2082/259.5,2078/267.3,2082.0,259.5,2078.0,267.3
2016,4,KKR,KKR,14,8,6,0,16,0.106,2123/253.2,2121/256.2,2123.0,253.2,2121.0,256.2
2016,5,MI,MI,14,7,7,0,14,-0.146,2194/272.2,2190/267.0,2194.0,272.2,2190.0,267.0
2016,6,DC,DC,14,7,7,0,14,-0.155,2040/259.1,2107/262.3,2040.0,259.1,2107.0,262.3
2016,7,Rising Pune Supergiant,RPS,14,5,9,0,10,0.015,2025/244.5,1991/241.1,2025.0,244.5,1991.0,241.1
2016,8,Kings XI Punjab,KXIP,14,4,10,0,8,-0.646,2134/269.4,2224/259.5,2134.0,269.4,2224.0,259.5
2015,1,CSK,CSK,14,9,5,0,18,0.709,2262/273.3,2073/274.1,2262.0,273.3,2073.0,274.1
2015,2,MI,MI,14,8,6,0,16,-0.043,2345/272.4,2371/274.2,2345.0,272.4,2371.0,274.2
2015,3,RCB,RCB,14,7,5,2,16,1.037,1790/191.1,1693/203.2,1790.0,191.1,1693.0,203.2
2015,4,RR,RR,14,7,5,2,16,0.062,2028/237.3,2002/236.1,2028.0,237.3,2002.0,236.1
2015,5,KKR,KKR,14,7,6,1,15,0.253,2044/236.1,2022/240.4,2044.0,236.1,2022.0,240.4
2015,6,Sunrisers Hyderabad,SRH,14,7,7,0,14,-0.239,2096/255.2,2126/251.4,2096.0,255.2,2126.0,251.4
2015,7,DC,DC,14,5,8,1,11,-0.049,1981/250.2,1976/248.1,1981.0,250.2,1976.0,248.1
